COMPIL_OK
=========================================================================================
ASP FUSIONNE  --  NVIDIA H200 NVL | 132 SM | 150 GB | bus 6016 bits | Q=64
  grilles reelles dimensionnees a Q ; 1 lancement par chemin (2 pour le 2-noyaux)
=========================================================================================

     n    D  r1  r2      m    G   q |   plat ms   2noyaux  fusionne |   gain2k  gainfus   fus/2k
---------------------------------------------------------------------------------------------------
  4096   64   2   8   1024   32  32 |    0.0678    0.1059    0.1812 |    0.64x    0.37x    0.58x
  4096   64   2   8   1024  128   8 |    0.0670    0.1054    0.0741 |    0.64x    0.90x    1.42x
  4096   64   2   8    512   32  16 |    0.0677    0.0663    0.1043 |    1.02x    0.65x    0.64x
  4096   64   2  16   1024   32  32 |    0.1274    0.1087    0.1839 |    1.17x    0.69x    0.59x
  4096   64   2  16   1024  128   8 |    0.1268    0.1081    0.0767 |    1.17x    1.65x    1.41x
  4096   64   2  16    512   32  16 |    0.1267    0.0674    0.1061 |    1.88x    1.19x    0.63x
  4096   64   4  16   1024   32  32 |    0.1268    0.1230    0.1853 |    1.03x    0.68x    0.66x
  4096   64   4  16   1024  128   8 |    0.1268    0.1233    0.0784 |    1.03x    1.62x    1.57x
  4096   64   4  16    512   32  16 |    0.1277    0.0829    0.1076 |    1.54x    1.19x    0.77x
  4096   64   4  32   1024   32  32 |    0.2491    0.1303    0.1917 |    1.91x    1.30x    0.68x
  4096   64   4  32   1024  128   8 |    0.2480    0.1301    0.0843 |    1.91x    2.94x    1.54x
  4096   64   4  32    512   32  16 |    0.2475    0.0860    0.1103 |    2.88x    2.24x    0.78x
 16384   64   2   8   4096   32  64 |    0.2488    0.3838    1.2920 |    0.65x    0.19x    0.30x
 16384   64   2   8   4096  128  32 |    0.2474    0.3851    0.6744 |    0.64x    0.37x    0.57x
 16384   64   2   8   4096  512   8 |    0.2485    0.3852    0.2729 |    0.65x    0.91x    1.41x
 16384   64   2   8   2048   32  64 |    0.2492    0.2297    1.2917 |    1.08x    0.19x    0.18x
 16384   64   2   8   2048  128  16 |    0.2482    0.2272    0.3785 |    1.09x    0.66x    0.60x
 16384   64   2  16   4096   32  64 |    0.4889    0.4360    1.2995 |    1.12x    0.38x    0.34x
 16384   64   2  16   4096  128  32 |    0.4893    0.4377    0.6876 |    1.12x    0.71x    0.64x
 16384   64   2  16   4096  512   8 |    0.4899    0.4365    0.2863 |    1.12x    1.71x    1.52x
 16384   64   2  16   2048   32  64 |    0.4900    0.2564    1.2997 |    1.91x    0.38x    0.20x
 16384   64   2  16   2048  128  16 |    0.4902    0.2557    0.3853 |    1.92x    1.27x    0.66x
 16384   64   4  16   4096   32  64 |    0.4893    0.4957    1.3029 |    0.99x    0.38x    0.38x
 16384   64   4  16   4096  128  32 |    0.4897    0.4967    0.6930 |    0.99x    0.71x    0.72x
 16384   64   4  16   4096  512   8 |    0.4893    0.4959    0.2907 |    0.99x    1.68x    1.71x
 16384   64   4  16   2048   32  64 |    0.4899    0.3145    1.3024 |    1.56x    0.38x    0.24x
 16384   64   4  16   2048  128  16 |    0.4899    0.3146    0.3914 |    1.56x    1.25x    0.80x
 16384   64   4  32   4096   32  64 |    0.9732    0.5511    1.3172 |    1.77x    0.74x    0.42x
 16384   64   4  32   4096  128  32 |    0.9720    0.5500    0.7166 |    1.77x    1.36x    0.77x
 16384   64   4  32   4096  512   8 |    0.9728    0.5508    0.3142 |    1.77x    3.10x    1.75x
 16384   64   4  32   2048   32  64 |    0.9709    0.3407    1.3175 |    2.85x    0.74x    0.26x
 16384   64   4  32   2048  128  16 |    0.9779    0.3422    0.4020 |    2.86x    2.43x    0.85x
  4096  128   2   8   1024   32  32 |    0.1280    0.1234    0.1849 |    1.04x    0.69x    0.67x
  4096  128   2   8   1024  128   8 |    0.1282    0.1234    0.0784 |    1.04x    1.64x    1.57x
  4096  128   2   8    512   32  16 |    0.1278    0.0829    0.1071 |    1.54x    1.19x    0.77x
  4096  128   2  16   1024   32  32 |    0.2502    0.1313    0.1917 |    1.91x    1.31x    0.68x
  4096  128   2  16   1024  128   8 |    0.2505    0.1304    0.0841 |    1.92x    2.98x    1.55x
  4096  128   2  16    512   32  16 |    0.2505    0.0860    0.1101 |    2.91x    2.28x    0.78x
  4096  128   4  16   1024   32  32 |    0.2491    0.1616    0.1965 |    1.54x    1.27x    0.82x
  4096  128   4  16   1024  128   8 |    0.2495    0.1617    0.0890 |    1.54x    2.80x    1.82x
  4096  128   4  16    512   32  16 |    0.2485    0.1165    0.1154 |    2.13x    2.15x    1.01x
  4096  128   4  32   1024   32  32 |    0.4917    0.1825    0.2081 |    2.69x    2.36x    0.88x
  4096  128   4  32   1024  128   8 |    0.4898    0.1825    0.1070 |    2.68x    4.58x    1.71x
  4096  128   4  32    512   32  16 |    0.4914    0.1278    0.1219 |    3.84x    4.03x    1.05x
 16384  128   2   8   4096   32  64 |    0.4908    0.4969    1.3041 |    0.99x    0.38x    0.38x
 16384  128   2   8   4096  128  32 |    0.4913    0.4986    0.6946 |    0.99x    0.71x    0.72x
 16384  128   2   8   4096  512   8 |    0.4911    0.4969    0.2911 |    0.99x    1.69x    1.71x
 16384  128   2   8   2048   32  64 |    0.4900    0.3153    1.3040 |    1.55x    0.38x    0.24x
 16384  128   2   8   2048  128  16 |    0.4907    0.3164    0.3906 |    1.55x    1.26x    0.81x
 16384  128   2  16   4096   32  64 |    0.9712    0.5505    1.3171 |    1.76x    0.74x    0.42x
 16384  128   2  16   4096  128  32 |    0.9737    0.5514    0.7175 |    1.77x    1.36x    0.77x
 16384  128   2  16   4096  512   8 |    0.9742    0.5512    0.3137 |    1.77x    3.11x    1.76x
 16384  128   2  16   2048   32  64 |    0.9713    0.3410    1.3159 |    2.85x    0.74x    0.26x
 16384  128   2  16   2048  128  16 |    0.9738    0.3417    0.4025 |    2.85x    2.42x    0.85x
 16384  128   4  16   4096   32  64 |    0.9768    0.6704    1.3363 |    1.46x    0.73x    0.50x
 16384  128   4  16   4096  128  32 |    0.9730    0.6719    0.7385 |    1.45x    1.32x    0.91x
 16384  128   4  16   4096  512   8 |    0.9719    0.6733    0.3364 |    1.44x    2.89x    2.00x
 16384  128   4  16   2048   32  64 |    0.9739    0.4618    1.3371 |    2.11x    0.73x    0.35x
 16384  128   4  16   2048  128  16 |    0.9735    0.4621    0.4211 |    2.11x    2.31x    1.10x

!! ERREUR CUDA sur plat : sync=an illegal memory access was encountered launch=an illegal memory access was encountered
