HuggingFaceTB/SmolLM2-135M | Lb=4 | index PCA d'=8 base 256 | agregation max | p>=320
T      frac   W     m     clefs_lues  perte      Delta
 1024  dense  ---   ---   ---           13.51250  ---
 1024  0.375   128    64     384 (0.375)    13.47678  -0.03571
 1024  0.250    85    42     253 (0.247)    13.43592  -0.07657
 1024  0.125    42    21     126 (0.123)    13.42204  -0.09046
 1024  0.062    21    10      61 (0.060)    13.36835  -0.14415
 2048  dense  ---   ---   ---           13.54427  ---
 2048  0.375   256   128     768 (0.375)    13.49771  -0.04656
 2048  0.250   170    85     510 (0.249)    13.60068  +0.05641
 2048  0.125    85    42     253 (0.124)    13.52511  -0.01915
 2048  0.062    42    21     126 (0.062)    13.61989  +0.07562
