SmolLM2-135M | T=512 | W=128 | Lb=32 | blocs=16 | corpus local
m0_fenetre perte=2.4987
bloc | masse_norm | gain_de_perte (negatif = utile)
   0 |    0.18692 | +0.15317
   1 |    0.16716 | -0.04833
   2 |    0.15337 | +0.00887
   3 |    0.11651 | -0.03615
   4 |    0.09291 | -0.01470
   5 |    0.07702 | +0.05452
   6 |    0.06668 | -0.06936
   7 |    0.04986 | -0.02286
   8 |    0.04122 | +0.07668
   9 |    0.02699 | -0.05606
  10 |    0.01598 | +0.03818
  11 |    0.00538 | +0.03116
  12 |    0.00000 | +0.00000
  13 |    0.00000 | +0.00000
  14 |    0.00000 | +0.00000
  15 |    0.00000 | +0.00000

CORRELATION masse <-> gain_de_perte = +0.1870 (n=16)
blocs UTILES (gain < 0) : 6/16 | gain median = +0.00000 | meilleur gain = -0.06936 (bloc 6)
