Qwen/Qwen2.5-0.5B | T=512 | W=128 | Lb=32 | blocs=16 | H=14 KVH=2 D=64
m0_fenetre perte=0.3298
bloc | masse_norm | gain_de_perte
   0 |    0.22170 | -0.01840
   1 |    0.12644 | -0.02490
   2 |    0.10726 | -0.01345
   3 |    0.11979 | -0.00064
   4 |    0.14814 | +0.00496
   5 |    0.08543 | -0.03355
   6 |    0.04948 | -0.00287
   7 |    0.06058 | +0.01932
   8 |    0.02403 | -0.00591
   9 |    0.02399 | +0.00501
  10 |    0.02384 | +0.00304
  11 |    0.00932 | +0.00402
  12 |    0.00000 | +0.00000
  13 |    0.00000 | +0.00000
  14 |    0.00000 | +0.00000
  15 |    0.00000 | +0.00000

CORRELATION masse<->gain = -0.4522 (n=16, blocs a masse non nulle=12)
blocs UTILES (gain<0) : 7/16 | gain median=+0.00000 | meilleur=-0.03355 (bloc 5)
bloc de masse MAX : bloc 0 (masse 0.22170, gain -0.01840)
