HuggingFaceTB/SmolLM2-135M | T=512 W=128 | masse d'attention dans le trou (moyenne sur tetes et couches, requetes p>=W)
Lb   taille_moy  masse_trou   perte_mesuree  perte/masse
  1       0.000     0.000000                          
  2       0.500     0.001280                          
  4       1.500     0.004367         0.0208        4.8
  8       3.500     0.010443         0.0594        5.7
 16       7.500     0.023439         0.1145        4.9
 32      15.500     0.050144         0.2145        4.3
 64      31.500     0.103770         0.3848        3.7

=== profil d'attention par distance derriere la fenetre (W=128) ===
distance  masse_moyenne
       1     0.04867120
       2     0.06187154
       3     0.03453436
       4     0.02144696
       5     0.01679332
       6     0.01430372
       7     0.01215894
       8     0.00981769
       9     0.00814123
      10     0.00704987
      11     0.00639832
      12     0.00636913
      13     0.00618283
      14     0.00553762
      15     0.00483309
      16     0.00412660
      17     0.00365056
      18     0.00361874
      19     0.00360704
      20     0.00374999
      21     0.00367554
      22     0.00323960
      23     0.00281527
      24     0.00252617
      25     0.00274796
      26     0.00302614
      27     0.00355206
      28     0.00313258
      29     0.00248016
      30     0.00208114
      31     0.00194136
      32     0.00226188
      33     0.00193837
      34     0.00172424
      35     0.00170309
      36     0.00154660
      37     0.00166340
      38     0.00190764
      39     0.00200515
      40     0.00200538
