HuggingFaceTB/SmolLM2-135M | T=512 W=128 | profil moyenne sur tetes, couches, requetes
distance  dans_fenetre  derriere_fenetre
       1     0.04747795       0.00071098
       2     0.06157382       0.00073423
       3     0.03451601       0.00074602
       4     0.02135280       0.00077077
       5     0.01681311       0.00076423
       6     0.01435785       0.00079160
       7     0.01207626       0.00080521
       8     0.00975024       0.00076215
       9     0.00797949       0.00091544
      10     0.00685914       0.00079487
      11     0.00632538       0.00067138
      12     0.00639137       0.00063548
      13     0.00617978       0.00062697
      14     0.00557837       0.00072428
      15     0.00485015       0.00076489
      16     0.00416950       0.00073452
      17     0.00373668       0.00079216
      18     0.00374854       0.00082316
      19     0.00366306       0.00082853
      20     0.00383318       0.00072084
      21     0.00384884       0.00078227
      22     0.00339550       0.00072491
      23     0.00294110       0.00080711
      24     0.00260413       0.00089233
      25     0.00281178       0.00088720
      26     0.00307928       0.00079439
      27     0.00368660       0.00085469
      28     0.00322694       0.00088088
      29     0.00248130       0.00089959
      30     0.00202768       0.00094374
      31     0.00187078       0.00088807
      32     0.00226996       0.00089300
      33     0.00193693       0.00090028
      34     0.00168060       0.00091033
      35     0.00169943       0.00095192
      36     0.00151373       0.00096983
      37     0.00163136       0.00101935
      38     0.00183126       0.00095169
      39     0.00192752       0.00082921
      40     0.00190107       0.00077320
      41     0.00169208       0.00079762
      42     0.00141406       0.00079195
      43     0.00133157       0.00083163
      44     0.00124543       0.00082270
      45     0.00131658       0.00086656
      46     0.00132300       0.00082795
      47     0.00120502       0.00069389
      48     0.00112465       0.00074687
      49     0.00107167       0.00067304
      50     0.00112589       0.00068388
      51     0.00114334       0.00069376
      52     0.00117679       0.00073995
      53     0.00121023       0.00073427
      54     0.00128523       0.00103498
      55     0.00126727       0.00108734
      56     0.00121230       0.00110102
      57     0.00122335       0.00113780
      58     0.00118486       0.00114312
      59     0.00107659       0.00170394
      60     0.00097694       0.00230578

=== regression perte = kappa * masse_du_trou + c ===
kappa = 10.218 nat par unite de masse
c     = +0.03777 nat
R2    = 0.972777
points : [0.00111, 0.00233, 0.0065, 0.01391, 0.03538] -> [0.0208, 0.0594, 0.1145, 0.2145, 0.3848]
