HuggingFaceTB/SmolLM2-135M | W=128 | rho(d) = masse par cle a distance d derriere la fenetre
d     rho(T=512)   rho(T=1024)  rho(T=2048)
   0    5.905e-04    5.100e-04    5.398e-04
   1    6.186e-04    5.071e-04    5.215e-04
   2    6.027e-04    4.721e-04    5.288e-04
   3    6.300e-04    5.295e-04    5.742e-04
   4    6.177e-04    5.264e-04    5.917e-04
   5    6.671e-04    5.290e-04    5.703e-04
   6    6.369e-04    5.106e-04    5.521e-04
   7    6.720e-04    4.632e-04    5.268e-04
   8    9.326e-04    5.395e-04    5.354e-04
   9    7.843e-04    5.688e-04    5.533e-04
  10    5.195e-04    4.714e-04    5.022e-04
  11    5.045e-04    4.072e-04    4.621e-04
  12    5.135e-04    3.923e-04    4.742e-04
  13    7.216e-04    4.675e-04    4.882e-04
  14    7.823e-04    4.726e-04    5.047e-04
  15    6.845e-04    4.501e-04    5.308e-04
  16    6.887e-04    4.736e-04    6.010e-04
  17    7.672e-04    5.277e-04    5.913e-04
  18    7.290e-04    5.016e-04    5.508e-04
  19    6.632e-04    4.942e-04    5.309e-04
  20    7.970e-04    5.048e-04    5.068e-04
  21    6.772e-04    4.439e-04    5.138e-04
  22    7.858e-04    5.004e-04    5.641e-04
  23    1.052e-03    6.124e-04    6.381e-04
  24    9.047e-04    5.974e-04    6.949e-04
  25    7.004e-04    5.287e-04    6.430e-04
  26    6.831e-04    5.369e-04    6.488e-04
  27    7.415e-04    5.642e-04    6.468e-04
  28    8.464e-04    5.869e-04    6.694e-04
  29    7.943e-04    5.528e-04    6.547e-04
  30    7.651e-04    5.220e-04    6.017e-04
  31    7.513e-04    5.130e-04    5.629e-04
  32    8.615e-04    5.584e-04    5.492e-04
  33    8.429e-04    6.306e-04    6.043e-04
  34    8.032e-04    5.972e-04    6.325e-04
  35    7.440e-04    5.521e-04    6.163e-04
  36    7.109e-04    5.519e-04    6.167e-04
  37    6.186e-04    4.737e-04    5.725e-04
  38    5.518e-04    4.192e-04    5.375e-04
  39    5.521e-04    4.025e-04    5.440e-04
  40    5.995e-04    4.150e-04    5.254e-04
  41    5.794e-04    4.203e-04    5.268e-04
  42    6.597e-04    5.072e-04    5.565e-04
  43    6.264e-04    4.927e-04    5.356e-04
  44    7.474e-04    5.081e-04    5.314e-04
  45    7.567e-04    4.862e-04    5.153e-04
  46    5.812e-04    4.385e-04    4.620e-04
  47    5.057e-04    4.196e-04    4.564e-04
  48    4.293e-04    3.885e-04    4.378e-04
  49    4.339e-04    3.609e-04    4.308e-04
  50    4.915e-04    3.480e-04    4.294e-04
  51    4.907e-04    3.490e-04    4.325e-04
  52    5.015e-04    3.727e-04    4.655e-04
  53    5.899e-04    4.352e-04    4.821e-04
  54    5.632e-04    4.589e-04    4.948e-04
  55    6.054e-04    4.359e-04    4.787e-04
  56    5.621e-04    3.824e-04    4.410e-04
  57    5.142e-04    3.668e-04    4.347e-04
  58    5.218e-04    3.439e-04    4.025e-04
  59    6.977e-04    3.996e-04    4.177e-04
  60    8.099e-04    4.368e-04    4.453e-04
  61    7.720e-04    4.450e-04    4.526e-04
  62    6.840e-04    4.205e-04    4.427e-04
  63    6.208e-04    3.877e-04    4.165e-04
  64    6.136e-04    3.640e-04    3.941e-04
  65    5.922e-04    3.678e-04    3.832e-04
  66    6.299e-04    3.819e-04    4.019e-04
  67    6.619e-04    3.958e-04    4.117e-04
  68    6.267e-04    3.859e-04    3.919e-04
  69    6.491e-04    3.852e-04    3.755e-04
  70    6.473e-04    3.893e-04    3.731e-04
  71    6.077e-04    3.780e-04    3.690e-04
  72    6.278e-04    4.589e-04    4.168e-04
  73    5.751e-04    4.235e-04    4.120e-04
  74    5.700e-04    3.619e-04    3.802e-04
  75    5.834e-04    3.489e-04    3.648e-04
  76    5.454e-04    3.442e-04    3.848e-04
  77    6.067e-04    3.550e-04    4.051e-04
  78    6.706e-04    3.855e-04    4.349e-04
  79    7.287e-04    4.329e-04    4.814e-04
  80    7.666e-04    4.844e-04    5.316e-04
  81    7.892e-04    4.782e-04    4.892e-04
  82    7.320e-04    4.379e-04    4.372e-04
  83    6.421e-04    3.847e-04    4.040e-04
  84    6.542e-04    3.710e-04    3.891e-04
  85    6.532e-04    3.706e-04    3.950e-04
  86    5.915e-04    3.651e-04    4.022e-04
  87    6.459e-04    3.998e-04    4.082e-04
  88    6.027e-04    3.747e-04    4.050e-04
  89    5.763e-04    3.705e-04    4.073e-04
  90    7.028e-04    4.414e-04    4.532e-04
  91    7.428e-04    4.687e-04    4.813e-04
  92    8.101e-04    5.102e-04    5.086e-04
  93    8.167e-04    5.356e-04    5.380e-04
  94    8.058e-04    5.163e-04    5.086e-04
  95    7.334e-04    4.534e-04    4.656e-04
  96    6.889e-04    4.256e-04    4.539e-04
